Date,Open,High,Low,Close,Volume,Adj. Close*
10960,248.48,252.29,241.78,244.2,2930000,244.2
10961,244.2,248.71,243,247.19,2070000,247.19
10964,248.85,250.37,245.49,248.1,2170000,248.1
10965,248.1,249.4,243.8,246.5,2030000,246.5
10966,246.5,248.04,243.8,245.7,1640000,245.7
10967,245.7,250.52,245.67,249.68,2400000,249.68
10968,249.68,252.91,248.8,250.03,2400000,250.03
10971,248.71,250.83,246.82,249.62,1460000,249.62
10972,249.62,252.39,248.98,250.44,1880000,250.44
10973,250.44,252.57,247.76,251.54,2630000,251.54
10974,251.54,253.49,248.16,248.99,3040000,248.99
10975,248.99,249.88,244.5,246.33,2680000,246.33
10978,246.84,248.92,244.86,247.31,1700000,247.31
10979,247.31,250.62,246.25,249.58,2230000,249.58
10980,249.58,251.85,248.6,250.19,2310000,250.19
10981,250.19,254.39,249.62,253.52,3230000,253.52
10982,253.52,258.98,252.98,256.31,3480000,256.31
10985,259.06,262.57,257.24,260.93,3460000,260.93
10986,260.93,261.89,256.7,257.9,2910000,257.9
10987,257.9,263.73,257.38,262.18,3250000,262.18
10988,262.18,266.3,260.48,263.28,3640000,263.28
10989,263.28,268.71,262.81,267.14,3740000,267.14
10992,268.41,271.54,264.84,266.54,3800000,266.54
10993,266.54,270,264.41,268.48,3230000,268.48
10994,268.85,274.01,268.85,272.06,4360000,272.06
10995,272.06,273.59,266.96,268.56,3710000,268.56
10996,268.56,271.62,265.36,267.82,3390000,267.82
10999,269.78,271.78,266.37,268.56,3170000,268.56
11000,268.56,272.67,267,271.05,3320000,271.05
11002,271.05,275,268.97,272.27,3670000,272.27
11003,272.27,274.2,268.6,271.52,3510000,271.52
11006,269.25,271.62,265.29,270.54,3290000,270.54
11007,270.54,274.41,268.98,270.73,3800000,270.73
11008,270.73,273.35,267.09,268.46,3490000,268.46
11009,268.46,269.72,262.43,263.41,3660000,263.41
11010,263.41,266.68,262.01,265.81,2570000,265.81
11013,265.81,266.33,261.4,262.47,2320000,262.47
11014,262.47,264.64,259.78,262.8,2630000,262.8
11015,262.94,269.92,262.94,269.06,3020000,269.06
11016,269.06,272.13,267.43,269.39,3310000,269.39
11017,269.39,272.55,267.41,271.11,3210000,271.11
11020,273.24,274.47,269.59,271.11,3630000,271.11
11021,271.11,275.19,269.16,273.51,3460000,273.51
11022,273.51,276.1,269.03,270.59,3720000,270.59
11023,270.59,276.05,269.01,274.51,3360000,274.51
11024,274.51,278.48,272.84,275.57,3640000,275.57
11027,275.46,279.4,273.71,276.85,3990000,276.85
11028,276.85,278.76,274.25,276.25,2640000,276.25
11029,276.25,277.06,270.01,272.13,4470000,272.13
11030,272.13,274.77,269.6,273.47,3850000,273.47
11031,273.47,275.82,270.38,271.34,3950000,271.34
11034,270.25,274.84,268.94,274.26,3640000,274.26
11035,274.26,279.79,273.9,277.27,4250000,277.27
11036,277.27,281.05,274.91,277.88,4340000,277.88
11037,277.88,282.23,275.25,279.41,3260000,279.41
11038,279.41,284.08,276.78,280.55,4630000,280.55
11041,276.43,280.92,275.03,279.11,4130000,279.11
11042,279.11,284.01,278.21,280.5,4530000,280.5
11043,280.5,285.38,279.31,283.22,5030000,283.22
11044,283.22,286.1,279.98,281.63,4710000,281.63
11045,281.63,287.06,280.83,283.85,5070000,283.85
11048,283.85,289.13,282.85,286.1,5160000,286.1
11049,286.1,290.15,283.64,287.11,5400000,287.11
11050,287.11,290.15,283.59,285.27,5300000,285.27
11051,285.27,288.17,282.29,285.77,4630000,285.77
11052,285.77,291.44,284.92,288.35,5930000,288.35
11055,289.96,293.43,287.03,290.19,5490000,290.19
11056,290.19,291.89,285.96,288.36,4690000,288.36
11057,288.36,293.36,287.37,291.15,5190000,291.15
11058,291.15,295.98,289.18,292.19,5680000,292.19
11059,292.19,296.35,288.42,292.65,5630000,292.65
11062,293.43,295.81,289.72,293.18,4150000,293.18
11063,293.18,295.69,289.34,293.26,4220000,293.26
11064,293.26,297.25,290.27,292.2,4400000,292.2
11065,292.2,296.05,290.38,294.07,3940000,294.07
11069,294.07,295.88,287.24,288.23,4490000,288.23
11070,288.23,291.39,284.28,290.01,4590000,290.01
11071,290.01,293.27,286.25,288.78,5570000,288.78
11072,288.78,290.58,283.74,286.18,5230000,286.18
11073,286.18,289.28,283.68,285.76,4730000,285.76
11076,285.46,286.12,275.71,276.94,4850000,276.94
11077,276.94,280.71,272.24,278.43,5410000,278.43
11078,278.43,283.51,275.97,279.23,4550000,279.23
11079,279.23,281.95,273,274.59,4640000,274.59
11080,274.59,276.81,264.93,266.56,5990000,266.56
11083,258.31,262.84,249.82,259.68,8280000,259.68
11084,259.68,270.34,259.04,268.81,4760000,268.81
11085,268.81,272.15,262.2,263.69,4300000,263.69
11086,263.69,266.11,257.74,263.93,3760000,263.93
11087,263.93,269.08,261.64,267.29,3010000,267.29
11090,272.01,275.11,268.56,270.16,3030000,270.16
11091,270.16,276.09,269.51,274.17,2700000,274.17
11092,274.17,277.22,272.22,274.4,3180000,274.4
11093,274.35,274.35,268.45,269.91,2680000,269.91
11094,269.91,272.96,268.54,271.52,2090000,271.52
11097,272.36,272.36,264.63,265.87,2410000,265.87
11098,265.87,268.4,260.76,267.1,3530000,267.1
11099,267.1,268.94,262.67,265.52,2080000,265.52
11100,265.52,268.65,262.53,266.89,1860000,266.89
11101,267.01,272.14,267.01,270.01,2160000,270.01
11104,271.33,276.18,270.64,272.14,2250000,272.14
11105,272.14,274.72,270.54,272.43,2260000,272.43
11106,272.43,275.17,270.64,273.84,2410000,273.84
11107,273.84,276.66,273.05,275.07,2200000,275.07
11111,275.07,276.86,273.03,274.45,1710000,274.45
11112,274.45,274.69,270.01,271.18,1750000,271.18
11113,271.18,274.03,269.54,272.44,1690000,272.44
11114,272.44,272.65,266.9,268.59,2390000,268.59
11115,268.59,268.69,263.29,263.93,2160000,263.93
11118,257.82,259.6,249.51,250.78,4650000,250.78
11119,250.78,257.72,247.62,257.29,4770000,257.29
11120,257.24,257.24,243.9,249.08,4480000,249.08
11121,249.08,250.9,241,247.18,3900000,247.18
11122,247.18,251.63,243.27,249.69,2230000,249.69
11125,242.18,242.18,228.94,230.05,5660000,230.05
11126,230.05,234.94,224.37,228.57,5020000,228.57
11127,226.29,226.29,212.27,218.84,6430000,218.84
11128,219.83,229.83,219.83,228.97,3760000,228.97
11129,228.97,232.69,219.7,221.92,5660000,221.92
11132,215.3,221.26,209.16,219.58,3840000,219.58
11133,219.58,222.89,211.07,211.84,2870000,211.84
11134,211.84,216.8,207.74,215.58,3400000,215.58
11135,215.58,222.11,214.25,220.58,2270000,220.58
11136,220.58,222.84,213.97,218.78,2080000,218.78
11139,219.12,226.85,219.06,226.34,1840000,226.34
11140,226.34,229.53,221.92,223.03,2280000,223.03
11141,223.03,227.24,222.14,225.25,1230000,225.25
11142,225.25,226.26,219.94,222.46,1380000,222.46
11146,221.31,221.31,216.33,218.33,1480000,218.33
11147,218.33,220.22,214.64,219.08,1560000,219.08
11148,219.11,223.52,219.11,222.04,1360000,222.04
11149,222.04,228.35,219.18,227.39,2170000,227.39
11150,227.39,228.65,223.97,224.86,1530000,224.86
11153,229.23,234.54,229.02,234.21,2740000,234.21
11154,234.21,237.19,231.73,233.79,3090000,233.79
11155,233.79,236.47,230.59,235.63,2590000,235.63
11156,235.63,240.27,234.03,239.07,2500000,239.07
11157,239.07,242.01,236.47,240.57,2750000,240.57
11160,236.58,236.58,228.72,229.29,1950000,229.29
11161,229.29,235.29,228.81,234.3,2080000,234.3
11162,234.94,241.76,234.94,239.33,2530000,239.33
11163,239.33,239.51,234.65,235.51,1480000,235.51
11164,235.51,238.58,233.77,237.48,1360000,237.48
11167,240.31,243.65,239.04,240.81,2430000,240.81
11168,240.81,241.53,237,238.4,1860000,238.4
11169,238.4,239.93,230.53,231.08,2510000,231.08
11170,231.08,235.19,229.09,233.99,2160000,233.99
11171,233.99,235.78,231.86,233.57,1090000,233.57
11174,234.5,238.57,233.26,238.16,1200000,238.16
11175,238.16,240.95,237.22,238.47,1220000,238.47
11176,237.99,237.99,233.67,234.38,1320000,234.38
11177,234.38,234.39,230.5,232.69,1450000,232.69
11178,231.73,231.73,222.24,222.82,3310000,222.82
11181,222.59,226.05,220.09,224.13,1750000,224.13
11182,223.74,223.74,216.48,217.24,2090000,217.24
11183,217.24,221.35,214.49,220.35,2290000,220.35
11184,220.35,224.38,219.24,221.08,1530000,221.08
11185,221.08,229.44,219.82,228.55,2110000,228.55
11188,228.02,229.08,224.42,227.79,1410000,227.79
11189,227.79,233.46,227.43,230.68,1860000,230.68
11190,230.68,235.26,229.84,232.98,1820000,232.98
11191,232.98,234.91,229.21,231.27,1710000,231.27
11192,231.27,234.04,229.64,232.63,1340000,232.63
11195,234.42,236.46,230.68,231.52,1600000,231.52
11196,231.52,236.3,230.73,235.47,1750000,235.47
11197,235.47,239.54,235.38,237.93,2200000,237.93
11198,237.93,239.33,235.19,237.79,1440000,237.79
11199,237.79,241.35,236.75,240.42,1860000,240.42
11203,240.42,242.77,238.51,240.42,1770000,240.42
11204,240.42,242.4,236.71,237.45,1750000,237.45
11205,237.45,239.65,234.35,236.04,1520000,236.04
11206,236.09,240.93,236.09,240.37,1650000,240.37
